,score_train,score_test,model
LUV,-0.0005479307836080416,0.002952877862054226,"(3, 1, 1)"
LVS,0.018797013298725518,0.014887370573010594,"(1, 0, 1)"
LYB,0.012126617012328422,0.012839052353806446,"(1, 0, 0)"
LYV,0.05840887791022953,0.090336115306753,"(2, 0, 2)"
MA,0.025672012127576194,-0.04015535002038506,"(1, 0, 0)"
MAA,0.04751917363808933,-0.08788500593166182,"(0, 0, 1)"
MAR,0.016113281905624888,-0.03183127067842806,"(3, 0, 1)"
MAS,0.027076481927636897,-0.033552591700420464,"(1, 0, 0)"
MCD,0.0058169287124777425,-0.0003391193416961702,"(0, 0, 1)"
MCHP,-1.2177535424484631e-08,-0.0018337600592890357,"(0, 0, 0)"
MCK,0.028783101644660136,-0.0005596125997133772,"(1, 0, 3)"
MCO,0.02448404039529095,-0.011232531027798753,"(1, 0, 1)"
MDLZ,0.03352515760517771,0.01121457748952781,"(2, 0, 2)"
MDT,0.02203152689458343,-0.005381867867347179,"(1, 0, 0)"
MET,0.01263477348712938,-0.0527954070930432,"(1, 0, 1)"
MGM,0.034387067526753246,-0.0044855394171896545,"(3, 0, 1)"
MHK,0.04638527016645977,0.028643258440136377,"(1, 0, 0)"
MKC,0.005912922900176643,-0.07448120532828528,"(0, 0, 1)"
MKTX,-1.3520845998371556e-08,-0.0017281223867333662,"(0, 0, 0)"
MLM,0.005946276209967127,-0.015284102347456363,"(1, 0, 0)"
MMC,0.03118967686177443,0.009295330361284715,"(1, 0, 3)"
MMM,-2.860242109825606e-08,-0.0012000367234856757,"(0, 0, 0)"
MNST,0.005475992479936909,-0.0007284226538810668,"(0, 0, 1)"
MO,-2.6646281625630763e-08,-0.015388348532806129,"(0, 0, 0)"
MOH,0.007649889827618717,-0.002141604100726502,"(1, 0, 1)"
MOS,-7.563871307070258e-09,-0.004399924645661191,"(0, 0, 0)"
MPC,0.016846699656236752,-0.008769239836976528,"(0, 0, 2)"
MPWR,0.014903552504338391,0.01762602187021678,"(1, 0, 1)"
MRK,0.018729203226466873,-0.0032765634110867303,"(1, 0, 1)"
MRO,0.021099663001335034,-0.05511269248478756,"(1, 0, 0)"
MS,-1.4589963903688385e-08,-0.00042625394377249215,"(0, 0, 0)"
MSCI,0.01851374514159776,0.00039964924974333904,"(3, 0, 1)"
MSFT,0.019686246442361943,-0.02139674843438888,"(0, 0, 1)"
MSI,0.01589722033861496,0.03752761495368384,"(1, 0, 1)"
MTB,0.016351631517184106,0.02345349709092559,"(1, 0, 1)"
MTCH,0.02015897262886579,-0.044712052080990494,"(2, 0, 2)"
MTD,0.008929389839642865,0.0034006964347459423,"(1, 0, 1)"
MU,0.0006266113895080361,-0.016590557066001654,"(1, 0, 1)"
NDAQ,0.004936599759982507,-0.04254982567340737,"(1, 0, 0)"
NDSN,0.007181977561959596,0.019359422799463455,"(1, 0, 0)"
NEE,0.04661598448751614,-0.21572737239879847,"(2, 0, 2)"
NEM,-1.0086436796896692e-08,-0.0017957933222092493,"(0, 0, 0)"
NFLX,-0.05512542387865893,-0.05600060501652071,"(1, 1, 1)"
NI,0.024319193318966814,0.022716685993051877,"(1, 0, 1)"
NKE,0.008492768118096405,0.01531730929670616,"(1, 0, 0)"
NOC,0.015889039140709382,-0.07210738638834657,"(0, 0, 1)"
NRG,-8.906531956398567e-09,-0.061278093430724434,"(0, 0, 0)"
NSC,-1.9651616334215305e-08,-0.008012239827794643,"(0, 0, 0)"
NTAP,-1.2901844703705478e-08,-0.028752098056941566,"(0, 0, 0)"
