,score_train,score_test
PG,-0.07066065162429891,-0.18977387693077996
PGR,-6.222794941246335e-05,-0.008552987785857669
PH,0.0017434054402083454,-0.014136729802406656
PHM,-0.0036172672818106655,0.014360376537759345
PKG,-0.0018713990155139193,-0.021043623123074617
PLD,-2.128918049075623,-4.154460621557016
PM,-0.002953304660472833,-0.0006320375491111196
PNC,-0.006040110834582446,-0.024719601905757838
PNR,0.0006975802979688472,-0.008186486109084123
PNW,-0.0036005362370636895,0.00703680019704056
PODD,-0.0004154621454675045,-0.011928029783666139
POOL,2.4756238938827835e-05,-0.008941480806296642
PPG,-0.005452518128147066,-0.020504412311454834
PPL,-0.006181011386284574,0.002788993306924503
PRU,-0.0004046815180915875,-0.005742841690892453
PSA,0.0005464176732564718,-0.007814804400873454
PTC,-4.528724820039778,-8.998495402998119
PWR,-0.0011144264246449875,-0.005455995498840016
PXD,-0.017422532392829426,-0.015859654022397196
QCOM,-0.012882009637355196,-0.004048430664821412
RCL,-8.576999026785803,-17.971991188811145
REG,-0.003573841548673906,-0.002285241969973928
REGN,-0.000788133664277435,-0.007093054145441258
RF,0.0013888858816196725,-0.008729154202474554
RHI,-0.05368245404740457,-0.07576422106341774
RJF,-0.00544065585286746,-0.004706448034806909
RL,-0.006596593290771446,-0.028094789972125556
RMD,-0.0012888304691498487,-0.003086284379347992
ROK,-0.005652766847917157,-0.005914191628443755
ROL,-0.025368772143035123,-0.044658564430793746
ROP,-0.02395582520997408,-0.07058058559574754
ROST,-0.4982857560234011,-1.13118036397707
RSG,-0.0012241126577861028,-0.002130611460983589
RTX,-9.921623215961166,-19.95063829827435
RVTY,0.0001935001684987281,-0.0033328452165997113
SBAC,0.0004765771510680805,-0.0034042541367258483
SBUX,-0.0027926860427580635,0.0032405540437125957
SCHW,-0.005409902792904653,-0.019751333154689465
SHW,-0.0037002596373785224,-0.019781012687298816
SJM,-0.004307514337247742,0.0005811880967672156
SLB,-0.0021538805543845907,-0.01215997591837814
SMCI,-0.002984213976755301,-0.005758286821000436
SNA,-0.0055172665081613115,0.003108677589530928
SNPS,-0.0009391789044082,-0.002831482321685508
SO,-0.0020489474755731596,-0.0015450498047901995
SPG,-0.1318717941672385,-0.22531745877736076
SPGI,-0.004317217625730008,-0.01696547978809937
SRE,-0.002726241219419556,0.0012838322733684793
STE,3.6599630841571695e-05,-0.004260649789073145
STLD,-0.026633110501596224,-0.043496783903793856
STT,-12.048860866288658,-25.336840939776412
STX,0.00032140262101199024,-0.003586208252945644
STZ,-0.054446829475839564,-0.07777329374464825
SWK,-0.0007671091306493683,-0.0006514441484584133
SWKS,-0.10813545465320784,-0.16812653040484182
SYK,0.0017526673584673524,-0.023747404911290237
SYY,-0.005359787589769294,0.0011548431865378017
T,-0.002555634903628201,-0.024293850874147038
TAP,0.0007940718413370629,-0.013136798125156002
TDG,-0.00041828624135331616,-0.010747133356385774
TDY,-0.5229805849682114,-0.9766671282926469
TECH,-17.316333133624187,-35.051307532274656
TEL,-0.0009160176250619934,-0.00028182895536432717
TER,-5.997673948522713,-12.711854770742509
TFC,0.004473616230689648,-0.0032770814854254926
TFX,-0.10011813625490884,-0.15795937418814332
TGT,-0.0015816902341208028,-0.0001703150715115509
TJX,-0.004435127695874064,-0.016877828656030713
TMO,-0.0014929309055777829,-0.004599845378952638
TMUS,0.005298679181192645,-0.018718879086593088
TPR,-3.30111018308829,-7.078678070994725
TRGP,-0.005443241095389295,-0.028600309731708018
TRMB,-4.233078709208463,-9.039800130386554
TROW,-0.002572123355064182,-0.000938945605884145
TRV,-0.8891683405831035,-1.9761434340934358
TSCO,-0.010209127882241598,-0.035580542412188
TSLA,-0.21219837559692434,-0.47921146548545646
TSN,-2.1834657286115626,-4.7335576149210805
TT,-0.0033806128583422357,0.00014798293715767574
TTWO,-0.00515690869576213,-0.013559959525245358
TXN,-0.06586239223136703,-0.1789447158947366
TXT,-0.20903785295519306,-0.35700303945097756
TYL,-0.5895638024988838,-1.334398704665487
UAL,-0.0028728187072681877,-0.014703944387675527
UDR,-0.0037507844669935064,-0.0019868745763556017
UHS,-0.0024420877329305313,-0.006444442267689698
ULTA,0.0018728315407233742,-0.013244845420955498
UNH,0.00016391835994455928,-0.001552278853437894
UNP,-0.0009979095679724104,-0.010858697586877852
UPS,0.0012808707233021854,-0.013355288810408927
URI,-0.39009867791086794,-0.7111959348411494
USB,-0.003309992450748034,-0.006874244530337359
V,-3.984758282408893,-7.899119494989263
VLO,-0.0022739283962966983,-0.0011036471126097958
VMC,-16.811305807223224,-35.21157456948409
VRSK,-1.6493070375570604,-3.582544475726402
VRSN,0.0028235549346523614,-0.012020328775180777
VRTX,-2.286789151629203,-4.935653046767249
VTR,-0.1977941322426624,-0.46894348155445065
VTRS,-0.0015410936470563463,-0.007035078902463354
VZ,-0.001069630803878674,-7.894771107208598e-05
WAB,-0.6444963927921472,-1.206591733866234
WAT,-0.0011061525356479418,-0.01719533651689087
WBA,-1.892056071161182,-3.7103332377001506
WBD,-0.0006459104556144624,-0.001639379212007075
WDC,0.0010283280255491967,-0.004443475108263817
WEC,-0.004845375243243355,-0.017207255933707977
WELL,-0.2427112775807201,-0.429709645917681
WFC,-0.003652506475421813,-0.006857494448739843
WM,-0.0022723111893172554,0.00018849731448844498
WMB,-10.089836983814745,-20.293131116802204
WMT,0.0010578410670311067,0.000825334926011223
WRB,0.0012928238264556802,-0.007174563294859437
WST,-1.2506313070885229,-2.3926000609468026
WTW,0.0020272609307323552,-0.004613107072287903
WY,-0.5064465455282339,-0.9316403408856189
WYNN,-6.868119777658777e-05,-0.004610482734246135
XEL,-0.10006579560194417,-0.26682624606535765
XOM,-0.2917249964280362,-0.5155391503076103
XYL,-0.00023037578539653047,-0.0015759146891942688
YUM,-0.29538386350596757,-0.5310864621326026
ZBH,-0.0005777226638659094,-0.011166671195710576
ZBRA,-0.9326927419778375,-1.7976436199494588
