,score_train,score_test,model
MRO,-2.3149111738618444e-08,-0.0010006579178785113,"(0, 0, 0)"
MS,0.008789135865457043,-0.022578130136784003,"(0, 0, 2)"
MSCI,0.01470367406408879,-0.034248709333850824,"(2, 0, 2)"
MSFT,0.01939548442843153,-0.015885929088342188,"(0, 0, 1)"
MSI,0.009313954116760281,-0.0021057084426348016,"(3, 0, 0)"
MTB,0.005245004127169772,-0.004719966687643851,"(1, 0, 1)"
MTCH,-3.182168950566222e-08,-0.001424786083940921,"(0, 0, 0)"
MTD,0.0019818709155146053,-0.008197068023702014,"(1, 0, 0)"
MU,-3.038937479438175e-08,-0.002756561566073401,"(0, 0, 0)"
NDAQ,0.0030353274783676554,0.005690363714129121,"(1, 0, 0)"
NDSN,0.012399397046838012,-0.0005477962992594954,"(2, 0, 2)"
NEE,0.006040746220577153,-0.021291491934972484,"(3, 0, 0)"
NEM,-4.623832094985403e-08,-0.0006144101135026059,"(0, 0, 0)"
NFLX,-0.006574092516144825,-0.006760934443885924,"(2, 1, 1)"
NI,0.017738037021305386,-0.009010075599833911,"(3, 0, 0)"
NKE,0.003039139761709553,-0.008307769693659095,"(1, 0, 1)"
NOC,0.006200483506441201,-0.016720159594006745,"(1, 0, 3)"
NRG,-4.47213430732063e-08,-0.01068171167306442,"(0, 0, 0)"
NSC,0.006828252367725107,-0.022686309332886845,"(2, 0, 2)"
NTAP,0.004518944296011407,-0.012150376433165855,"(2, 0, 0)"
NTRS,0.008206253110085049,-0.002740077852270595,"(2, 0, 0)"
NUE,0.0034027336172092193,-0.0028201834319452335,"(0, 0, 2)"
NVDA,0.006938226453964358,-0.027896902027209958,"(2, 0, 0)"
NVR,0.007496750236717142,-0.008042387785715643,"(2, 0, 2)"
NXPI,0.023751889519936342,-0.011875149101554294,"(3, 0, 3)"
O,0.012170767310512254,-0.03111210370716666,"(0, 0, 2)"
ODFL,-7.65307324179787e-08,-0.0005793797887483354,"(0, 0, 0)"
OKE,-3.434670348134716e-08,-0.00019918338113633638,"(0, 0, 0)"
OMC,0.007585801652946089,-0.008710054926346356,"(3, 0, 2)"
ON,0.0060092110829571554,-0.02119582594686764,"(3, 0, 0)"
ORCL,0.01815870122196539,-0.036110316890431315,"(2, 0, 2)"
ORLY,0.008534452194628117,-0.004650480567379933,"(3, 0, 0)"
OXY,-2.81048118111471e-08,-0.0010007848064215175,"(0, 0, 0)"
PARA,0.005741522707294888,-0.016706392734010533,"(0, 0, 3)"
PAYX,0.010884305687339224,0.010727784431914245,"(2, 0, 1)"
PCAR,-1.0297684727156309e-07,-0.007730216775650112,"(0, 0, 0)"
PCG,-1.8319013639356285e-08,-6.487717781467062e-05,"(0, 0, 0)"
PEG,0.032617788671781334,-0.04900188215008705,"(3, 0, 3)"
PEP,0.034292826952692534,-0.029145380788405006,"(3, 0, 0)"
PFE,0.0017708459022065526,-0.03907257498179195,"(1, 0, 0)"
PFG,-6.32433565517232e-08,-0.0019068479323218757,"(0, 0, 0)"
PG,0.011521948869891663,-0.011429305570335835,"(2, 0, 2)"
PGR,0.013610163945685816,-0.01815458103307721,"(2, 0, 3)"
PH,0.004661524340259571,-0.006513449298528595,"(2, 0, 0)"
PHM,0.010509519582935778,-0.007007237799441679,"(1, 0, 3)"
PKG,0.009122997954826517,-0.008968642375345892,"(3, 0, 0)"
PLD,0.02094589110471068,0.0038867747747165504,"(2, 0, 3)"
PM,0.017047583504900987,-0.01701326878915843,"(0, 0, 2)"
PNC,0.013515379011899142,0.0012503736795125286,"(2, 0, 3)"
PNR,-7.859638584406525e-08,-0.01014911530303686,"(0, 0, 0)"
PNW,0.03073428694500313,-0.038976523531511154,"(3, 0, 3)"
PODD,0.001154244880783084,-0.004047598580911416,"(0, 0, 1)"
POOL,0.0070982420809759805,-0.009796477022920858,"(1, 0, 1)"
PPG,-9.452173332924474e-08,-0.0008599913467628451,"(0, 0, 0)"
PPL,0.00847563331228851,-0.00015802317348101447,"(1, 0, 3)"
PRU,0.004078733232414811,0.006392992579992818,"(2, 0, 0)"
PSA,0.005217320112909984,-0.0012373999658643609,"(2, 0, 2)"
PTC,-6.123485296605224e-08,-0.00312786103954954,"(0, 0, 0)"
PWR,-6.038682776043913e-08,-0.0029833502799605505,"(0, 0, 0)"
PXD,0.0033193539440239395,-0.0037511241913394944,"(0, 0, 1)"
QCOM,0.005984639913573342,-0.007293822549139017,"(2, 0, 0)"
RCL,0.0027121305130584084,-0.017947277488195246,"(1, 0, 0)"
REG,-7.226508347280003e-08,-8.35883669458859e-05,"(0, 0, 0)"
REGN,-5.17794809251626e-08,-4.19067605419432e-05,"(0, 0, 0)"
RF,0.006056546740664137,0.00049456857069341,"(3, 0, 2)"
RHI,0.002177596118845826,-0.0007598590925039783,"(1, 0, 0)"
RJF,0.009642711722668063,0.003671142198958588,"(2, 0, 3)"
RL,-4.621978799690396e-08,-0.005521228721934612,"(0, 0, 0)"
RMD,0.00262430192617491,-0.007443696122552579,"(1, 0, 1)"
ROK,0.0024715518934899094,-0.002151689178368388,"(1, 0, 0)"
ROL,0.0017199064134655329,-0.005753739284612314,"(1, 0, 0)"
ROP,0.01728252567130384,0.011702225323496185,"(2, 0, 1)"
ROST,-6.275368713559715e-08,-3.5293770779265543e-06,"(0, 0, 0)"
RSG,0.03313596087274717,-0.05124620789167622,"(2, 0, 3)"
RTX,0.005014453412714115,-0.01095445681811369,"(2, 0, 0)"
RVTY,-8.905731729846877e-08,-0.0055355204297262706,"(0, 0, 0)"
SBAC,0.010592585608451888,0.010254585667533789,"(1, 0, 3)"
SBUX,0.009476825436811498,-0.02749388028684252,"(0, 0, 1)"
SCHW,0.005661995002929521,-0.030929424843008313,"(3, 0, 0)"
SHW,0.008469930019639249,0.009577482760428913,"(2, 0, 1)"
SJM,0.014846478631049709,-0.066322833502934,"(3, 0, 3)"
SLB,-4.2982682080250356e-08,-2.0635295994830827e-05,"(0, 0, 0)"
SMCI,-2.403514365312276e-08,-0.01002480135209427,"(0, 0, 0)"
SNA,0.004469669969891399,-0.0010676358946453135,"(3, 0, 2)"
SNPS,0.010293184421901636,-0.025720685253780573,"(2, 0, 2)"
SO,0.00409412415356758,-0.008022500254380116,"(1, 0, 0)"
SPG,0.01861831477470044,-0.053090026147309954,"(2, 0, 2)"
SPGI,0.032635683024109685,-0.028123354974221915,"(2, 0, 2)"
SRE,0.005936111296099167,-0.0070902056639121636,"(3, 0, 3)"
STE,0.0034578214701687093,-0.009791530982641072,"(2, 0, 0)"
STLD,0.002479706609834542,-0.0001395139113411492,"(1, 0, 0)"
STT,0.01174037493520741,-0.009879363266932284,"(2, 0, 2)"
STX,-4.167260136966888e-08,-0.005451357741625529,"(0, 0, 0)"
STZ,-7.67999479567294e-08,-0.002323556968777618,"(0, 0, 0)"
SWK,-6.325347623459265e-08,-0.0029096461780120375,"(0, 0, 0)"
SWKS,0.00825908950376808,0.0033688612382086758,"(1, 0, 0)"
SYK,0.0023089986712447885,0.000500899514142783,"(1, 0, 1)"
SYY,0.00933801923047306,-0.011745333828417026,"(2, 0, 2)"
T,-1.4154704741642377e-07,-0.0001667975210104533,"(0, 0, 0)"
TAP,0.018763926104871986,-0.02316161368095404,"(3, 0, 2)"
