,score_train,score_test,benchmark,p_value,correlation
EW,0.005298721201207002,0.040751458044914535,-0.0010398471377468521,0.09696936580622662,0.34017440276411864
EXC,0.005945516926456507,-0.00784289177622699,-0.0068840178085858295,0.07868026386240667,0.20945850976972338
EXPD,0.00032562288912407755,0.007427312379404194,-0.021529864146601296,0.68112423821247,0.34011355970590545
EXPE,0.007262395071090499,-0.04608671843070966,-0.04223231570185515,0.05189049370483365,-0.037718783448819786
EXR,0.003195128486350507,-0.006241249423041939,-0.006046919098926518,0.19769413266862296,-0.026370679225822986
F,0.0024816300038582595,0.004684484013608103,-0.006586716657891234,0.2563568157304923,0.09834366356311658
FAST,0.0017276475510190625,-0.0016866133890547363,-0.06546925292928085,0.34370564750812593,0.36996959665411205
FCX,0.0013471129800970427,-0.012682698474954401,-0.005323120301076845,0.4031369470641084,-0.15265584768465054
FDS,0.0036728883689636227,0.01877875066358259,-0.020305575237580253,0.16719672025274368,0.18611146343563886
FDX,0.000762574976227226,-0.03707836560460609,-0.046959808598541875,0.5293984113826075,-0.21789381739640531
FE,0.0008747551629494366,-0.006498771705804263,-0.0030193928235091594,0.5005551136865811,0.12651310366045362
FFIV,2.059703407830682e-09,-0.01208561101097172,-0.02715594333329263,0.9991754503581898,0.07906789000566745
FI,0.0452603088230078,-0.07767196250846875,-0.04586027878889265,9.557659352111679e-07,-0.055510321236275056
FICO,0.01326494107661802,-0.0400801218835416,-0.17655517216941985,0.00850509411834528,0.16134515859946383
FIS,0.03486992257724464,-0.10551065161833106,-0.00026894245217490287,1.7878886326537514e-05,-0.17324514957536188
FITB,0.02059694828508174,-0.039304966049017453,-0.003890663160018404,0.0010199160478560365,-0.0647150510824833
FMC,0.01171289221169658,-0.1099296271219059,-0.06274521108517228,0.013449593406785637,0.10343215247585179
FRT,0.022421335377373564,-0.029006285666624887,-0.0026335893931848098,0.0006058879906298859,-0.021086899295844005
FSLR,0.0014150049430738942,-0.024826821008026023,-0.005132983068932839,0.39152516450499875,-0.309072251127705
FTNT,0.0061460092130903865,0.005514104716162316,-0.00858067684744479,0.07379415071340469,0.07688763864021239
GD,0.01109179724625986,0.0033092333633596427,-0.004612459671568869,0.01617971215324145,0.10281344010412205
GE,1.4391136600955257e-05,-0.16916928086397043,-0.17741517019942377,0.9311627021052614,-0.08998577654094242
GEN,0.0013412393015824753,-0.022112995669961277,-0.0038798578459446897,0.40416487208431773,-0.28385741537356773
GILD,0.011970899989354189,0.016601161315461743,-8.61196758350502e-09,0.0124588623886878,0.18633357239298237
GIS,0.007965767662718615,-0.12387672061965271,-0.028751568774038505,0.04171344856103959,-0.16196636245969592
GL,0.009964390950597202,-0.029859713059134263,-0.0006950415063884385,0.022685132020067215,-0.029579217673641793
GLW,0.0034910297655951217,-0.002410172371576813,-0.00010855636963480464,0.17811679340232467,0.06460682641549934
GM,0.009405411843781186,0.0022854652062580527,-0.0029268315610544438,0.026859952688748273,0.0622525156522339
GNRC,0.0026070430938370803,0.011172407594580935,-0.01014891046185129,0.2446640594493871,0.16285805162417097
GOOG,0.01603492103630555,0.016472958499946677,-0.04926852388591074,0.0037905932559514563,0.22605887336615405
GOOGL,0.013955349673932083,0.01588748684594954,-0.0488670558533586,0.006946214750638927,0.22893913637412883
GPC,0.020403749216162947,-0.06130254666658108,-0.010584888193819308,0.0010778687333092656,0.03841212960032047
GPN,0.031443809721225624,-0.019937622153116008,-0.018289870138199937,4.699844768265903e-05,0.04246730920126372
GRMN,0.0017227132217730867,-0.004654974210446694,-0.053186711009785004,0.34439628599493155,0.23227913852616525
GS,0.00031524044123765194,0.001153679737057045,-0.007787031013243295,0.685974369362746,0.05251872118420359
GWW,0.004386421802419993,-0.01736471335087808,-0.05006395125502294,0.13110559675896713,0.08553088791005171
HAL,0.020662036843282272,0.014604590922039029,-6.80099282823754e-06,0.0010011074486720062,0.13057551486883848
HAS,0.0016147816043389218,0.00038542159125853903,-0.00022080596382445528,0.3599861705749472,0.07139503695202654
HBAN,0.007155003396651205,-0.028670242630600473,-0.0001666266211040046,0.05366115216790191,-0.11577429134756857
HCA,0.00016184572715205459,-0.004373554251531964,-0.009197858010213444,0.7720487259079025,0.004700908026708277
HD,0.025367995142877464,0.028357375902063553,-0.008177213745841128,0.00026216311912142506,0.17685924480595497
HES,0.0016865380763617654,-0.010612227228352422,-0.0012945940732693728,0.34951732770121213,-0.08851958543630893
HIG,0.016053221951644492,-0.0053936052520799915,-0.0051211682492871,0.00377053444024235,0.05495445459495893
HII,0.002775156005227153,0.005247208494247202,-0.010620824241259763,0.22999057201009518,0.08832999443164818
HOLX,0.0002566666048479105,-0.01937817586334023,-0.00041374413401795707,0.7152405071235978,0.011591617970719913
HON,0.014073626469748857,0.05148320251445104,-0.00018684493700993343,0.006709921446936566,0.33955164177018976
HPQ,0.008857443485406291,0.004017328034777612,-0.011628637396704278,0.03172955017715361,0.07360838201568791
HRL,0.003563001439378599,-0.0957946405204344,-0.03236200607364448,0.17370006676888283,-0.12374121971901007
HSIC,0.019482601228549168,-0.09425192332684929,-0.00048541257196399457,0.0014033021968289168,-0.21517808983359182
HST,0.007872458642504299,-0.0032505083984599725,-0.01729681777946901,0.04293330439641995,0.08642457184421166
HSY,0.0034537595905489438,-0.10144392166409055,-0.018430734679407923,0.18045471184294828,-0.21881812609410964
HUBB,0.007259200804496713,-0.024442487138575553,-0.03641035401539949,0.051942261004256626,-0.007789073945447147
HUM,0.01144878001613947,-0.03147041313335075,-0.0011209235217668478,0.014547622166648934,0.06310856611207082
IBM,0.0021955536079377724,-0.03588689076580054,-0.029163248671294717,0.28572697023322985,-0.13429428288903647
ICE,0.0155700979456872,-0.03881103929648444,-0.0367043784198271,0.004338008708397628,-0.07595248666665842
IDXX,0.006400865992671423,0.0037230436944875045,-0.02376114796173301,0.06804674804401574,0.07557509503339657
IEX,7.174879998206318e-05,-0.026027535167305826,-0.0001789188715772827,0.847052115081582,-0.2681242814916973
IFF,0.005318903746657888,-0.01906066653804217,-0.002167547884298626,0.09633377043545388,-0.04222594319189202
ILMN,1.4089118300475434e-05,-0.018207557056697965,-0.005377923256476791,0.9318870852268445,-0.1315214151385395
INCY,0.0029216109527080425,-0.06361400646353621,-0.012460457119991775,0.2180628871095416,0.028333998203143765
INTC,5.6584702076811766e-05,-0.047642366224819765,-0.0637239867835222,0.863996321921302,0.16711097206072428
INTU,0.01596439901421609,-0.061138373456292694,-0.07967175116761283,0.0038689062064937137,-0.05718328609127281
IP,0.001281344134135276,0.007034387303601286,-0.004304602476126185,0.4148692937899282,0.1359985401254966
IPG,0.021957142718867284,0.01288525983407185,-0.000817650058854813,0.0006916123855043166,0.13156857461306123
